------+-------------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
 Line | # File             Line | Line Type   | MX |  Reloc  | Size | Address   Object Code |  Source Code                                                      
------+-------------------------+-------------+----+---------+------+-----------------------+-------------------------------------------------------------------
    1 |  1 Unidrive4.asm      1 | Comment     | 11 |         |    0 | 00/8000               | *
    2 |  1 Unidrive4.asm      2 | Comment     | 11 |         |    0 | 00/8000               | *    Unidisk 3.5 Driver <alfa>
    3 |  1 Unidrive4.asm      3 | Comment     | 11 |         |    0 | 00/8000               | *
    4 |  1 Unidrive4.asm      4 | Comment     | 11 |         |    0 | 00/8000               | *    The target of this project is to use the Unidisk 3.5 drive to perform
    5 |  1 Unidrive4.asm      5 | Comment     | 11 |         |    0 | 00/8000               | *    specific numerical routines (integers and floating point numbers)
    6 |  1 Unidrive4.asm      6 | Comment     | 11 |         |    0 | 00/8000               | *    calculation in order to use it as a Apple II co-processor unit.
    7 |  1 Unidrive4.asm      7 | Comment     | 11 |         |    0 | 00/8000               | *
    8 |  1 Unidrive4.asm      8 | Comment     | 11 |         |    0 | 00/8000               | *    Copyright (C) 2015  Riccardo Greco <rigreco.grc@gmail.com>.
    9 |  1 Unidrive4.asm      9 | Comment     | 11 |         |    0 | 00/8000               | *
   10 |  1 Unidrive4.asm     10 | Comment     | 11 |         |    0 | 00/8000               | *    This program is free software: you can redistribute it and/or modify
   11 |  1 Unidrive4.asm     11 | Comment     | 11 |         |    0 | 00/8000               | *    it under the terms of the GNU General Public License as published by
   12 |  1 Unidrive4.asm     12 | Comment     | 11 |         |    0 | 00/8000               | *    the Free Software Foundation, either version 3 of the License, or
   13 |  1 Unidrive4.asm     13 | Comment     | 11 |         |    0 | 00/8000               | *    (at your option) any later version.
   14 |  1 Unidrive4.asm     14 | Comment     | 11 |         |    0 | 00/8000               | *    This program is distributed in the hope that it will be useful,
   15 |  1 Unidrive4.asm     15 | Comment     | 11 |         |    0 | 00/8000               | *    but WITHOUT ANY WARRANTY; without even the implied warranty of
   16 |  1 Unidrive4.asm     16 | Comment     | 11 |         |    0 | 00/8000               | *    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
   17 |  1 Unidrive4.asm     17 | Comment     | 11 |         |    0 | 00/8000               | *    GNU General Public License for more details.
   18 |  1 Unidrive4.asm     18 | Comment     | 11 |         |    0 | 00/8000               | *    You should have received a copy of the GNU General Public License
   19 |  1 Unidrive4.asm     19 | Comment     | 11 |         |    0 | 00/8000               | *    along with this program.  If not, see <http://www.gnu.org/licenses/>.
   20 |  1 Unidrive4.asm     20 | Comment     | 11 |         |    0 | 00/8000               | *
   21 |  1 Unidrive4.asm     21 | Comment     | 11 |         |    0 | 00/8000               | *
   22 |  1 Unidrive4.asm     22 | Comment     | 11 |         |    0 | 00/8000               | * @com.wudsn.ide.asm.hardware=APPLE2
   23 |  1 Unidrive4.asm     23 | Comment     | 11 |         |    0 | 00/8000               | *
   24 |  1 Unidrive4.asm     24 | Comment     | 11 |         |    0 | 00/8000               | * Protocol Converter Call
   25 |  1 Unidrive4.asm     25 | Directive   | 11 |         |    0 | 00/8000               |               XC                   
   26 |  1 Unidrive4.asm     26 | Equivalence | 11 |         |    0 | 00/8000               | ZPTempL       equ   $0006          ;Temporary zero page storage
   27 |  1 Unidrive4.asm     27 | Equivalence | 11 |         |    0 | 00/8000               | ZPTempH       equ   $0007          
   28 |  1 Unidrive4.asm     28 | Comment     | 11 |         |    0 | 00/8000               | ** Zero page storage **
   29 |  1 Unidrive4.asm     29 | Equivalence | 11 |         |    0 | 00/8000               | N1            equ   $FA            ;25  4 Byte FP FA--FD (FP1)
   30 |  1 Unidrive4.asm     30 | Equivalence | 11 |         |    0 | 00/8000               | N2            equ   $EC            ;27  4 Byte FP EC--EF (FP2)
   31 |  1 Unidrive4.asm     31 | Comment     | 11 |         |    0 | 00/8000               | ; RSLT		equ $1D ;29
   32 |  1 Unidrive4.asm     32 | Comment     | 11 |         |    0 | 00/8000               | *** Monitor routines ***
   33 |  1 Unidrive4.asm     33 | Equivalence | 11 |         |    0 | 00/8000               | COut          equ   $FDED          ;Console output ASCII
   34 |  1 Unidrive4.asm     34 | Equivalence | 11 |         |    0 | 00/8000               | CROut         equ   $FD8E          ;Carriage return
   35 |  1 Unidrive4.asm     35 | Comment     | 11 |         |    0 | 00/8000               | ** Command Code **
   36 |  1 Unidrive4.asm     36 | Equivalence | 11 |         |    0 | 00/8000               | StatusCmd     equ   0              
   37 |  1 Unidrive4.asm     37 | Comment     | 11 |         |    0 | 00/8000               | ** Status Code **
   38 |  1 Unidrive4.asm     38 | Comment     | 11 |         |    0 | 00/8000               | * StatusDIB  	equ 3
   39 |  1 Unidrive4.asm     39 | Equivalence | 11 |         |    0 | 00/8000               | StatusUNI     equ   5              
   40 |  1 Unidrive4.asm     40 | Comment     | 11 |         |    0 | 00/8000               | *
   41 |  1 Unidrive4.asm     41 | Equivalence | 11 |         |    0 | 00/8000               | ControlCmd    equ   4              
   42 |  1 Unidrive4.asm     42 | Comment     | 11 |         |    0 | 00/8000               | ** Control Codes **
   43 |  1 Unidrive4.asm     43 | Equivalence | 11 |         |    0 | 00/8000               | Eject         equ   4              
   44 |  1 Unidrive4.asm     44 | Equivalence | 11 |         |    0 | 00/8000               | Run           equ   5              
   45 |  1 Unidrive4.asm     45 | Equivalence | 11 |         |    0 | 00/8000               | SetDWLoad     equ   6              
   46 |  1 Unidrive4.asm     46 | Equivalence | 11 |         |    0 | 00/8000               | DWLoad        equ   7              
